Request Date	Sent by 	 Email	Title / Type of Activity 	Field/Area (policy) + 2025 Cluster/Priotiry	Priority	Registration = Deadline	Type of Engagement	Reply/Reaction Status	Date of Activity	Venue	Follow Up	Assigned To	Notes	Drive 
22-Dec-2025	European Digital Education Hub	EDEH-SUPPORT@ec.europa.eu	Webinar "AI use in vocational training and education: a global view"		Low		Participation (Virtual)	Completed	20th January 2026, 9:00-10:00 CET	Online		Daniele	Register here. Our webinar examines how training providers worldwide are adapting to the opportunities and challenges of AI in Vocational Education and Training (VET).	EDEH - January events and opportunities.pdf
23-Dec-2025	European Digital Education Hub	EDEH-SUPPORT@ec.europa.eu	Webinar "Foundations for our future: literacy for digital citizenship"		Low		Participation (Virtual)	Not going	21st January 2026, 10:00-11:00 CET	Online			Register here. Strong basic and digital literacy skills are key for active citizenship today. They help people engage safely and confidently in the fast-paced information world. Our webinar looks at how these skills support critical participation in digital society.	EDEH - January events and opportunities.pdf
09-Jan-2026	ESN	president@esn.org	Conference  “The Future is Erasmus: A Higher Education stakeholder dialogue”		Medium		Participation (Inperson)	Not going	27th January 2026, 14:00-18:30 CET	University Foundation, Brussels			Agenda here. The event will bring together students, alumni, higher education institutions, European University Alliances, National Agencies, policymakers, and other key representatives to reflect on current developments, challenges, and priorities shaping the next generation of the programme.	ESN Conference 'Future is Erasmus'.pdf
12-Jan-2026	Civil Society Alliance	alexandra.matthys@solidar.org	Civil Society Alliance Meeting		Medium		Participation (Virtual)	Outdated	20th January 2026, 10h-11:30 CET	Online			Meeting link here. We will take a moment to reflect on how the Alliance has been functioning so far. In April 2026, the Alliance’s ‘foundational year’ is coming to an end and we’d like to hear your opinion on how the establishment of the Alliance has been going and what you’d like us to focus on in 2026. Please give your input in this short form by Friday 16/01. We’ll use the replies as a basis for our discussion during the meeting.	Youth_ The Future in the Present_ - ENGIM Presentation Conference at the EU Parliamen.pdf
	European Commission	info@eusocialforum.eu	European Employement and Social Rights Forum		Medium		Participation (Inperson)	Completed	3-4 March 2026	Brussels		Pete	Register here. This Forum will address the EU’s response to the challenges many people face today, including the rising cost of living, job insecurity, and changes in the labour market. Opinion leaders, policymakers, businesses, academics and civil society will come together to explore bold ideas to support Europe’s greatest strength: its people.  	
	European Climate Pact	ambassadors@euclimatepact.eu	ECP Community Talk on the Social Climate Fund		Low		Participation (Virtual)	Completed	20 January 2026, 12:30-14:00 CET	Online		Amira	Register here. 	Community Talk on the Social Climate Fund, 20 January, 12_30-14_00 CET.pdf
19-Jan-2026	EASPD	irene.bertana@easpd.eu	EUFundForSocialCoalition meeting		Low		Participation (Virtual)	Outdated	21 January 2026, 10:00-12:00 CET	Online			The aim of the discussion is to assess alignment around these proposals, to identify and address problematic element if any, and to collect additional arguments or relevant points that could help strengthen the text. While the paper remains a draft and we very much welcome your comments, the intention at this stage is not to reopen the substance of the proposals, but rather to refine and consolidate them where needed. Attend here.	EUFundForSocialCoalition meeting 21 January 10_00 -12_00 - agenda, draft statement & link.pdf
21-Jan-2026	CEDEFOP	Eleni-Maria.KATSOURA@cedefop.europa.eu	Online Workshop "The role of NQFs in the Union of Skills: your perspective matters"		Low	16 February 2026	Participation (Virtual)	Completed	17 February 2026, 10:00-12:00 CET	Online		Pete	Register here. Cedefop will give the floor to policymakers, stakeholders, experts, researchers, and the wider public to discuss the role National Qualifications Frameworks (NQFs) can play in the Union of Skills and exchange views on how NQFs can better promote the portability of qualifications and skills.	Cedefop interactive online workshop on NQFs – 17 February 2026.pdf
15-Jan-2026	European Centre of Expertise (ECE)	ece@icf.com	Civil Society Seminar "Social and employment policies in the European Semester 2026"		Low	20th February 2026	Participation (Virtual)	Completed	5 March 2026, 10:00-14:45 CET	Online		Pete	The event is organised on behalf of the European Commission’s Directorate-General for Employment, Social Affairs and Inclusion (DG EMPL) by the European Centre of Expertise (ECE) in the field of employment and labour market policies. This year’s seminar will place particular emphasis on human capital, quality jobs and social protection.	Civil Society Seminar_ Social and employment policies in the European Semester 2026 – 5 March 2026 (EU).pdf
02-Feb-2026	DG EMPL	EMPL-CIVIL-DIALOGUE@ec.europa.eu	Strategic Dialogue online meeting on the Skills Portability Initiative and the VET Strategy		High	10th February 2026	Participation (Virtual)	Completed	12 February 2026, 9:15-12:30 CET	Online		Amira and Daniele	Register here. Strategic consultation on the Skills Portability Initiative and the VET Strategy.	
03-Feb-2026	IASIS NGO	conference@iasismed.eu	Connect to Protect – Children & Youth at Risk		Low		Participation (Inperson)	Pending	5–6 October 2026	Athens (Greece)			The conference is dedicated to advancing research, academic dialogue, and evidence-informed policy on the most pressing risks facing children, adolescents, and young people today. Against a backdrop of increasing social, economic, and digital challenges affecting children and youth, the conference aims to foster interdisciplinary exchange, critical reflection, and comparative analysis, with clear relevance for both policy development and practical application. To express interest, please contact: Stefanos Alevizos (Scientific Lead of the Conference) stefanos.alevizos@iasismed.eu	Connect to Protect - Children & Youth at Risk.pdf
03-Feb-2026	ENESET and DG EAC	brenda.frydman@ppmi.lt	EAC Research to Policy (R2P) webinar: What is the impact of smartphones and social media restrictions on education: evidence from schools in Europe		Low		Participation (Virtual)	Completed	12 February 2026, 14:30-15:45 CET	Online		Pete and Daniele	This webinar will provide an overview of the current evidence, bringing together research findings with policy and implementation perspectives. 	Invitation to EAC R2P webinar on impact of smartphones and social media restrictions in schools.pdf
29-Jan-2026	UNESCO	a.flottmeier@unesco.org	OBESSU Testimony in the 2026 Youth Report		High		Other	Completed					Following the interview we had in December, we’ve prepared a testimony that we would like to potentially feature in the youth report or an accompanying blog.	Research on youth and student engagement in education legislation and policy making, GEM Report UNESCO.pdf
02-Feb-2026	SOLIDAR	alexandra.matthys@solidar.org	Training session for for EMPASY project (Emotional Literacy and Participatory Approaches to Support Youth Mental Health in the MENA region)		Medium		Speaking (Virtual)	Completed	10 February 2026, 16:00-18:00 CET	Online		Pete	Session on how to plan, implement, monitor, evaluate an Advocacy Campaign and we believe OBESSU's expertise would be highly valuable for this topic. 30 minute intervention supported by a PowerPoint presentation, followed by a Q&A session.	Speaker Invitation _ EMPASY online training session 10_2_ Planning, monitoring and evaluating advocacy campaigns.pdf
02-Feb-2026	LLLP	advocacy@lllplatform.eu	Erasmus+ Coalition meeting		Medium		Participation (Virtual)	Completed	25 February 2026, 14:30-16:30 CET	Hybrid (online and LLLP offices)		Pete	Meeting link.	[Erasmus+ Coalition] Next meeting - 25 February, 14.30-16.30.pdf
06-Feb-2026	Just Transition Platform	workinggroups@justtransitionplatform.eu	JTP Working Group meeting		Medium		Participation (Inperson)	Completed	7-8 May 2026	Narva, Estonia		Pete	As many of the Actions are wrapping up and being finalised ahead of the summer, this will be an opportunity to gather final feedback or validation from other WG members and to plan joint dissemination activities. 	Next JTP WG meeting planned for 7-8 May in Narva Estonia.pdf
09-Feb-2026	Civil Society Europe	cse_members@framagroupes.org	Second plenary meeting on NGO Funding Attacks		Medium	11th February 2026	Participation (Inperson)	Completed	13 February 2026, 9:30-11:30	Mundo Madou and online		Pete	Draft agenda here. Register here. 	Plenary Meeting attacks on EU funding to NGOs this Friday 9_30.pdf
10-Feb-2026	ALL DIGITAL	LLLP Basecamp	CHAMELEON Project Final Event		Low		Participation (Inperson)	Not going	27 March 2026, 9:30-14:00 CET	EVBB VET House, Brussels			Register here. Join us for CHAMELEON’s final event and discover how digital innovation, sustainability, and entrepreneurial thinking are shaping the careers of tomorrow! 	CHAMELEON’s final event! 09_30am 0n 27th March @ EVBB VET House.pdf
16-Feb-2026	European Citizens’ Initiative Forum Team		Webinar "Understanding the legal requirements for launching an ECI"		Low		Participation (Virtual)	Completed	10 March 2026, 12:30-13:30 CET	Online			Register here. At a time when citizen participation matters more than ever, the European Citizens’ Initiative (ECI) stands as the only EU citizens’ instrument of participatory democracy at European level. The webinar combines the European Commission’s institutional perspective with practical guidance from the ECI Forum, offering clear and actionable insights for organisers and supporters alike.	ECI Forum Webinar “Understanding the legal requirements for launching an ECI” – Tuesday, 10 March 12_30-13_30 (CEST).pdf
24-Feb-2026	Civil Society Europe	cse_members@framagroupes.org	Second meeting of the Interest Group on Civil Society		Medium	12th March 2026	Participation (Inperson)	Completed	18 March 2026, 9:00-10:30 CET	European Parliament		Pete	Further details and a registration form will be shared in the upcoming weeks.	Second meeting Interest Group on Civil Society - 18 March h 9.00 - h 10.30, EP.pdf
24-Feb-2026	EP Youth Outreach Unit	youth@together.eu	Invest in What Matters "How can the next EU long-term budget better support democracy"		Medium	3rd March 202	Participation (Inperson)	Outdated	24 March 2026	European Parliament			Register here. The next EU long-term budget will decide how the European Union invests in our shared future, but it is also a tool to protect and strengthen democracy through fundamental principles and values on which the European Union is built. On the eve of crucial negotiation, this event brings together civil society organisations, and decision-makers.	Invest in What Matters - How can the next EU long-term budget better support democracy _ 24 03 2026.pdf
24-Feb-2026	Allianz Foundation	simon.morris-lange@allianzfoundation.org	Webinar "Beyond “The Youth Will Save Us”: Dispelling Myths about young people’s hopes, dreams, and beliefs"		Low		Participation (Virtual)	Outdated	3 March, 17:00-18:00 CET	Online			Register here. Much is said about young people. From “the youth will save us” to concerns over young people’s detachment from politics or the idea of democracy, many headlines and myths pervade public discourse. But young people are not monolithic, and their views can diverge significantly. 	
